55,"Something Wild",22,"Full-length","Spinefarm Records",1997-02-16
57,"Downfall",22,"Single","Spinefarm Records",1998-11-00
58,"Hatebreeder",22,"Full-length","Spinefarm Records",1999-04-26
59,"Tokyo Warhearts",22,"Live album","Spinefarm Records",1999-10-11
60,"Follow the Reaper",22,"Full-length","Spinefarm Records",2000-10-30
61,"Invoking the Unclean",24,"Demo","N/A",1992-01-20
63,"Orgiastic Pleasures Foul",24,"Demo","N/A",1992-02-00
64,"The Principle of Evil Made Flesh",24,"Full-length","Cacophonous Records",1994-02-24
65,"When the Kite String Pops",19,"Full-length","Rotten Records",1994-08-08
66,"Vempire or Dark Faerytales in Phallustein",24,"EP","Cacophonous Records",1996-04-22
67,"Paegan Terrorism Tactics",19,"Full-length","Rotten Records",1996-11-12
68,"Dusk... and Her Embrace",24,"Full-length","Music for Nations",1996-08-28
69,"Cruelty and the Beast",24,"Full-length","Music for Nations",1998-04-27
70,"From the Cradle to Enslave",24,"EP","Music for Nations",1999-11-02
71,"Midian",24,"Full-length","Music for Nations",2000-10-30
72,"Bitter Suites to Succubi",24,"EP","Spitfire Records",2001-06-18
73,"Iron Maiden",25,"Full-length","EMI Records",1980-04-14
74,"Killers",25,"Full-length","EMI Records",1981-02-02
75,"The Number of the Beast",25,"Full-length","EMI Records",1982-03-22
76,"Piece of Mind",25,"Full-length","EMI Records",1983-05-16
77,"Powerslave",25,"Full-length","EMI Records",1984-09-03
78,"Live After Death",25,"Live album","EMI Records",1985-10-14
79,"Somewhere in Time",25,"Full-length","EMI Records",1986-09-29
80,"Seventh Son of a Seventh Son",25,"Full-length","EMI Records",1988-04-11
81,"No Prayer for the Dying",25,"Full-length","EMI Records",1990-10-01
82,"Stigmata",10,"Full-length","Century Media",1998-05-18
83,"Natural Born Chaos",26,"Full-length","Nuclear Blast",2002-03-25
84,"Total Fucking Darkness",24,"Demo","N/A",1993-11-02
85,"Horror Show",4,"Full-length","Century Media",2001-06-25
86,"Lugburz",29,"Full-length","Napalm Records",1995-03-20
87,"Minas Morgul",29,"Full-length","Napalm Records",1995-10-16
88,"Dol Guldur",29,"Full-length","Napalm Records",1997-01-19
89,"Projector",8,"Full-length","Century Media",1999-06-21
90,"Prometheus - The Discipline of Fire & Demise",30,"Full-length","Candlelight Records",2001-10-22
91,"Nightshade Forests",29,"EP","Napalm Records",1997-06-03
92,"Anthems to the Welkin at Dusk",30,"Full-length","Candlelight Records",1997-07-08
93,"In the Nightside Eclipse",30,"Full-length","Candlelight Records",1994-02-21
94,"Reverence",30,"EP","Candlelight Records",1997-03-00
96,"IX Equilibrium",30,"Full-length","Candlelight Records",1999-11-23
97,"Emperial Live Ceremony",30,"Live album","Candlelight Records",2000-05-15
98,"Medieval Prophecy",31,"EP","Necrosound",1988-12-00
99,"Worship Him",31,"Full-length","Osmose Productions",1991-04-01
100,"Blood Ritual",31,"Full-length","Century Media",1992-12-01
101,"Ceremony of Opposites",31,"Full-length","Century Media",1994-02-28
102,"Rebellion",31,"EP","Century Media",1995-05-23
103,"Passage",31,"Full-length","Century Media",1996-08-19
105,"Exodus",31,"EP","Century Media",1998-06-02
106,"Eternal",31,"Full-length","Century Media",1999-07-19
107,"Legendary Tales",32,"Full-length","Limb Music GmbH",1997-10-27
108,"Emerald Sword",32,"Single","Limb Music GmbH",1998-09-09
109,"Symphony of Enchanted Lands",32,"Full-length","Limb Music GmbH",1998-10-05
110,"Dawn of Victory",32,"Full-length","Limb Music GmbH",2000-10-30
114,"Stronghold",29,"Full-length","Napalm Records",1999-05-11
115,"Let Mortal Heroes Sing Your Fame",29,"Full-length","Napalm Records",2001-10-31
116,"Anduin the River",33,"Full-length","N/A",1997-00-00
117,"Kurt of Koppigen",33,"Full-length","Shark Records",1998-00-00
118,"Dark Ritual",28,"Demo","N/A",1990-04-20
119,"Extension of the Wish",27,"Full-length","Century Media",2001-04-02
120,"Burning Bridges",10,"Full-length","Century Media",1999-05-21
121,"Dark Avenger",36,"Full-length","Zen",1995-00-00
122,"Tales of Avalon: The Terror",36,"Full-length","Megahard Records",2001-00-00
123,"Epicus Doomicus Metallicus",34,"Full-length","Black Dragon Records",1986-06-10
124,"Nightfall",34,"Full-length","Active Records",1987-11-09
125,"Ancient Dreams",34,"Full-length","Active Records",1988-11-23
126,"Tales of Creation",34,"Full-length","Music for Nations",1989-09-25
127,"Six Degrees of Inner Turbulence",37,"Full-length","Elektra Records",2002-01-12
128,"Saint Vitus",35,"Full-length","SST Records",1984-02-00
129,"V",35,"Full-length","Hellhound Records",1990-00-00
130,"Blackwater Park",38,"Full-length","Music for Nations",2001-03-12
131,"Awake",37,"Full-length","Atlantic Records",1994-10-04
132,"A Change of Seasons",37,"EP","EastWest Records",1995-09-15
133,"Angels Fall First",39,"Full-length","Spinefarm Records",1997-11-01
134,"Oceanborn",39,"Full-length","Spinefarm Records",1998-10-01
135,"Wishmaster",39,"Full-length","Spinefarm Records",2000-05-29
136,"From Wishes to Eternity",39,"Live album","Spinefarm Records",2001-11-27
137,"Morningrise",38,"Full-length","Candlelight Records",1996-06-24
138,"Orchid",38,"Full-length","Candlelight Records",1995-05-15
139,"They Came over the High Pass",40,"Full-length","Necropolis Records",1999-11-10
140,"My Arms, Your Hearse",38,"Full-length","Candlelight Records",1998-08-18
141,"Still Life",38,"Full-length","Peaceville Records",1999-10-18
142,"Over the Hills and Far Away",39,"EP","Spinefarm Records",2001-06-25
143,"Tara",41,"Full-length","Osmose Productions",2001-05-23
144,"Organasm",42,"Full-length","Displeased Records",2000-03-13
145,"Rusted Angel",9,"Full-length","War Music",1999-10-12
146,"The Red in the Sky Is Ours",43,"Full-length","Deaf Records",1992-07-27
147,"With Fear I Kiss the Burning Darkness",43,"Full-length","Deaf Records",1993-05-07
148,"Am Universum",1,"Full-length","Relapse Records",2001-04-03
149,"Dead Heart in a Dead World",44,"Full-length","Century Media",2000-09-13
150,"Dreaming Neon Black",44,"Full-length","Century Media",1999-01-06
151,"The Politics of Ecstasy",44,"Full-length","Century Media",1996-07-23
152,"In Memory",44,"EP","Century Media",1996-05-28
153,"Nevermore",44,"Full-length","Century Media",1995-01-01
154,"The Bastard",47,"Full-length","tUMULt",2001-00-00
155,"Heavy Metal Chainsaw",48,"Full-length","Iron Pegasus Records",2001-00-00
156,"Transition",49,"Full-length","Metal Blade Records",2001-03-06
157,"Breathe Deep the Dark",49,"Full-length","Metal Blade Records",1998-09-22
158,"City",46,"Full-length","Century Media",1997-01-27
159,"Pills Against the Ageless Ills",50,"Full-length","Century Media",2001-09-19
160,"Imaginary Sonicscape",51,"Full-length","Century Media",2001-07-23
161,"Colony",11,"Full-length","Nuclear Blast",1999-05-31
162,"Elegy",1,"Full-length","Relapse Records",1996-05-14
163,"Vintage Whine",58,"Full-length","Massacre Records",1999-02-15
164,"Wolfheart",61,"Full-length","Century Media",1995-04-01
165,"The Immortal Flame",62,"Demo","N/A",2002-07-02
166,"Something Wicked This Way Comes",4,"Full-length","Century Media",1998-06-07
167,"The Melancholy E.P.",4,"EP","Century Media",1999-04-19
168,"The Dark Saga",4,"Full-length","Century Media",1996-05-20
174,"Burnt Offerings",4,"Full-length","Century Media",1995-04-00
175,"Fantasy",57,"Full-length","Sahira Records",1996-08-27
176,"Night of the Stormrider",4,"Full-length","Century Media",1991-11-11
177,"Iced Earth",4,"Full-length","Century Media",1990-11-00
178,"Borislav Mitic",57,"Full-length","Shrapnel Records",1999-03-23
180,"Enter the Realm",4,"Demo","N/A",1989-04-12
181,"Leaving Your Body Map",16,"Full-length","Dark Symphonies",2001-08-07
182,"Brave New World",25,"Full-length","EMI Records",2000-05-30
183,"New American Gospel",59,"Full-length","Prosthetic Records",2000-09-26
185,"World ov Worms",66,"Full-length","Candlelight Records",2001-02-12
186,"None",21,"EP","Nuclear Blast",1994-11-08
187,"The Jester Race",11,"Full-length","Nuclear Blast",1996-02-20
188,"Whoracle",11,"Full-length","Nuclear Blast",1997-10-27
189,"Lovecraft & Witch Hearts",24,"Compilation","Music for Nations",2002-05-13
190,"A Sun That Never Sets",60,"Full-length","Relapse Records",2001-08-07
191,"Altars of Madness",68,"Full-length","Earache",1989-05-12
192,"Through Silver in Blood",60,"Full-length","Relapse Records",1996-04-02
193,"Times of Grace",60,"Full-length","Relapse Records",1999-05-04
194,"Enemy of the Sun",60,"Full-length","Alternative Tentacles Records",1993-08-17
195,"Images and Words",37,"Full-length","Atco Records",1992-07-07
196,"NOLA",71,"Full-length","Elektra Records",1995-09-19
197,"Down II: A Bustle in Your Hedgerow",71,"Full-length","Elektra Records",2002-03-26
198,"Blasphemy Made Flesh",17,"Full-length","Invasion Records",1994-11-25
199,"None So Vile",17,"Full-length","Wrong Again Records",1996-07-03
200,"Whisper Supremacy",17,"Full-length","Century Media",1998-09-22
201,"And Then You'll Beg",17,"Full-length","Century Media",2000-10-31
202,"Steelbath Suicide",26,"Full-length","Listenable Records",1998-05-20
203,"Soundtrack to the Personal Revolution",73,"Full-length","Relapse Records",2002-01-22
204,"The Chainheart Machine",26,"Full-length","Listenable Records",2000-02-08
205,"Burnt by the Sun",73,"EP","Relapse Records",2001-00-00
206,"A Predator's Portrait",26,"Full-length","Nuclear Blast",2001-02-19
207,"Show No Mercy",72,"Full-length","Metal Blade Records",1983-12-03
208,"Hell Awaits",72,"Full-length","Metal Blade Records",1985-03-00
209,"Live Undead",72,"Live album","Metal Blade Records",1984-11-16
210,"Haunting the Chapel",72,"EP","Metal Blade Records",1984-06-00
211,"Falconer",74,"Full-length","Metal Blade Records",2001-05-08
212,"Reign in Blood",72,"Full-length","Def Jam Recordings",1986-10-07
213,"Chapters from a Vale Forlorn",74,"Full-length","Metal Blade Records",2002-03-12
214,"South of Heaven",72,"Full-length","Def Jam Recordings",1988-07-05
215,"Dim Carcosa",28,"Full-length","Hammerheart Records",2001-05-16
216,"Fatherland",28,"Full-length","Mascot Records",1998-08-31
217,"Blasfemia Eternal",28,"Full-length","Mascot Records",1996-05-14
218,"Seasons in the Abyss",72,"Full-length","Def American",1990-10-09
219,"The Diabolic Serenades",28,"Full-length","After Dark",1994-11-01
220,"Decade of Aggression",72,"Live album","Def American",1991-10-22
221,"Divine Intervention",72,"Full-length","American Recordings",1994-09-27
222,"Diabolus in Musica",72,"Full-length","American Recordings",1998-06-09
223,"My Fruit Psychobells... A Seed Combustible",16,"Full-length","Dark Symphonies",1999-00-00
224,"God Hates Us All",72,"Full-length","American Recordings",2001-09-11
225,"Metal Magic",77,"Full-length","Metal Magic",1983-06-10
226,"Projects in the Jungle",77,"Full-length","Metal Magic",1984-00-00
227,"I Am the Night",77,"Full-length","Metal Magic",1985-00-00
228,"Power Metal",77,"Full-length","Metal Magic",1988-00-00
229,"Cowboys from Hell",77,"Full-length","Atlantic Records",1990-07-13
230,"Vulgar Display of Power",77,"Full-length","Atco Records",1992-02-25
231,"Far Beyond Driven",77,"Full-length","EastWest Records",1994-03-22
232,"The Great Southern Trendkill",77,"Full-length","Atlantic Records",1996-05-03
233,"Official Live: 101 Proof",77,"Live album","EastWest Records",1997-08-01
234,"Reinventing the Steel",77,"Full-length","Elektra Records",2000-03-14
235,"Diabolical Fullmoon Mysticism",75,"Full-length","Osmose Productions",1992-07-01
236,"Pure Holocaust",75,"Full-length","Osmose Productions",1993-11-01
237,"Battles in the North",75,"Full-length","Osmose Productions",1995-05-15
238,"Blizzard Beasts",75,"Full-length","Osmose Productions",1997-03-20
239,"At the Heart of Winter",75,"Full-length","Osmose Productions",1999-02-28
240,"Damned in Black",75,"Full-length","Osmose Productions",2000-04-05
241,"Sons of Northern Darkness",75,"Full-length","Nuclear Blast",2002-02-05
242,"Immortal",75,"EP","Listenable Records",1991-10-01
244,"The Legacy",70,"Full-length","Atlantic Records",1987-04-21
245,"The New Order",70,"Full-length","Atlantic Records",1988-05-05
246,"Practice What You Preach",70,"Full-length","Atlantic Records",1989-08-04
247,"Souls of Black",70,"Full-length","Atlantic Records",1990-09-24
248,"The Ritual",70,"Full-length","Atlantic Records",1992-05-15
249,"Return to the Apocalyptic City",70,"EP","Atlantic Records",1993-04-02
250,"Low",70,"Full-length","Atlantic Records",1994-09-30
251,"Wolf's Lair Abyss",67,"EP","Misanthropy Records",1997-11-03
252,"Deathcrush",67,"Demo","Posercorpse",1987-08-16
253,"Live at the Fillmore",70,"Live album","Burnt Offerings",1995-00-00
254,"De Mysteriis Dom Sathanas",67,"Full-length","Deathlike Silence",1994-05-24
255,"Live in Leipzig",67,"Live album","Obscure Plasma",1993-07-00
256,"Demonic",70,"Full-length","Music for Nations",1997-06-09
257,"Mediolanum Capta Est",67,"Live album","Avantgarde Music",1999-12-07
258,"Irreligious",61,"Full-length","Century Media",1996-07-29
259,"The Gathering",70,"Full-length","Spitfire Records",1999-06-28
260,"First Strike Still Deadly",70,"Full-length","Spitfire Records",2001-10-24
261,"Live in Marseille 2000",67,"Live album","Season of Mist",2001-06-16
262,"U.S. Legions",67,"Compilation","Renegade",2001-00-00
263,"Under the Moonspell",61,"EP","Adipocere Records",1994-04-27
264,"Moontower",15,"Full-length","Black Mark Production",1999-01-26
265,"Anno Satanæ",61,"Demo","N/A",1993-02-24
266,"Sin / Pecado",61,"Full-length","Century Media",1998-01-20
267,"Origin",79,"Full-length","Relapse Records",2000-07-11
268,"The Butterfly Effect",61,"Full-length","Century Media",1999-09-13
269,"Informis Infinitas Inhumanitas",79,"Full-length","Relapse Records",2002-06-11
270,"Darkness and Hope",61,"Full-length","Century Media",2001-08-22
271,"Goat on Fire / Wolves from the Fog",61,"Single","Molon Lave Records",1994-00-00
272,"Opium",61,"Single","Century Media",1996-10-01
273,"Arise",78,"Full-length","Roadrunner Records",1991-04-02
274,"2econd Skin",61,"EP","Century Media",1997-10-29
275,"Chaos A.D.",78,"Full-length","Roadrunner Records",1993-09-02
276,"Roots",78,"Full-length","Roadrunner Records",1996-02-20
277,"Against",78,"Full-length","Roadrunner Records",1998-10-06
278,"Sagovindars Boning",80,"Full-length","Napalm Records",1999-07-06
279,"Nation",78,"Full-length","Roadrunner Records",2001-03-20
280,"Älvefärd",80,"Full-length","Napalm Records",1998-03-02
281,"Bergtagen",80,"Demo","N/A",1995-00-00
282,"I trollskogens drömmande mörker",80,"Demo","N/A",1996-00-00
283,"Galdersång till Bergfadern",80,"Demo","N/A",1997-00-00
284,"Suffering Hour",82,"Full-length","Axis Records",1988-00-00
285,"Født til å herske",81,"Full-length","Malicious Records",1993-12-00
286,"Crypt of the Wizard",81,"Full-length","Dark Dungeon Music",1996-00-00
287,"Reason",82,"Full-length","Metal Blade Records",1990-02-16
288,"The Stargate",81,"Full-length","Earache",1999-10-19
289,"The Smell of Rain",81,"Full-length","Earache",2001-10-22
290,"Manic Impressions",82,"Full-length","Metal Blade Records",1991-05-01
291,"Screams and Whispers",82,"Full-length","Metal Blade Records",1993-05-11
292,"Ånden som gjorde opprør",81,"Full-length","Cold Meat Industry",1994-00-00
293,"Keiser av en dimension ukjent",81,"Full-length","Cold Meat Industry",1995-00-00
294,"Tales from the Thousand Lakes",1,"Full-length","Relapse Records",1994-09-01
295,"The Karelian Isthmus",1,"Full-length","Relapse Records",1992-11-01
296,"Privilege of Evil",1,"EP","Relapse Records",1993-12-05
297,"And Thou Shalt Trust... the Seer",63,"Full-length","Last Episode",1997-10-15
298,"Slaughter of the Soul",43,"Full-length","Earache",1995-11-14
299,"Terminal Spirit Disease",43,"Full-length","Peaceville Records",1994-07-18
300,"Gardens of Grief",43,"Demo","N/A",1991-00-00
301,"Days of Purgatory",4,"Compilation","Century Media",1997-04-21
304,"Alive in Athens",4,"Live album","Century Media",1999-07-19
305,"Hail to England",83,"Full-length","INAR Music",1984-07-00
306,"Rapture",64,"Full-length","Spitfire Records",2001-07-17
307,"Hell on Stage",83,"Live album","Nuclear Blast",1999-10-02
308,"Hell on Wheels - Live",83,"Live album","Universal Music Group",1997-11-18
309,"Battle Hymns",83,"Full-length","Liberty",1982-08-00
310,"Into Glory Ride",83,"Full-length","Megaforce Records",1983-07-00
311,"Fighting the World",83,"Full-length","Atco Records",1987-05-14
312,"Trilogy",84,"Full-length","Polydor Records",1986-11-04
313,"Rising Force",84,"Full-length","Polydor Records",1984-03-05
314,"Odyssey",84,"Full-length","Polydor Records",1988-04-08
315,"War to End All Wars",84,"Full-length","Spitfire Records",2000-10-07
316,"The Tokyo Showdown - Live in Japan 2000",11,"Live album","Nuclear Blast",2001-08-06
317,"Clayman",11,"Full-length","Nuclear Blast",2000-07-25
318,"Black Ash Inheritance",11,"EP","Nuclear Blast",1997-08-15
319,"Subterranean",11,"EP","Wrong Again Records",1994-11-02
320,"Lunar Strain",11,"Full-length","Wrong Again Records",1994-04-01
321,"Beneath the Remains",78,"Full-length","Roadrunner Records",1989-09-05
322,"Schizophrenia",78,"Full-length","Cogumelo Records",1987-10-30
323,"Destroy the Opposition",45,"Full-length","Relapse Records",2000-10-03
324,"Gateways to Annihilation",68,"Full-length","Earache",2000-10-17
325,"The Haunted",85,"Full-length","Earache",1998-06-23
326,"Made Me Do It",85,"Full-length","Earache",2000-10-31
327,"Live Rounds in Tokyo",85,"Live album","Earache",2001-12-10
328,"Domination",68,"Full-length","Earache",1995-05-09
329,"Marching Out",84,"Full-length","Polydor Records",1985-09-30
331,"Eclipse",84,"Full-length","PolyGram Records",1990-04-11
333,"Hail Horror Hail",51,"Full-length","Cacophonous Records",1997-12-00
334,"Scorn Defeat",51,"Full-length","Deathlike Silence",1993-00-00
335,"Ghastly Funeral Theatre / 葬式劇場",51,"EP","Cacophonous Records",1997-04-00
336,"For all tid",69,"Full-length","No Colours Records",1994-12-01
337,"Requiem for Fools",51,"EP","Wild Rags Records",1992-00-00
338,"Desolation",51,"Demo","N/A",1990-06-00
339,"The Middle Kingdom",86,"Full-length","Hammerheart Records",2000-00-00
340,"Tragedies",51,"Demo","N/A",1990-12-06
341,"Tuatha Na Gael",86,"Full-length","Nazgul's Eyrie Productions",1995-04-30
342,"Spiritual Black Dimensions",69,"Full-length","Nuclear Blast",1999-03-02
343,"Ride On",86,"Single","Hammerheart Records",2001-00-00
344,"Puritanical Euphoric Misanthropia",69,"Full-length","Nuclear Blast",2001-03-12
345,"Infidel Art",51,"Full-length","Cacophonous Records",1995-10-00
346,"Folk-Lore",86,"Full-length","Hammerheart Records",2002-02-04
347,"Godless Savage Garden",69,"EP","Nuclear Blast",1998-08-04
348,"Alive in Torment",69,"EP","Nuclear Blast",2002-02-26
349,"Reawakening Pride Once Lost",87,"Full-length","Century Media",1998-00-00
350,"The Yngwie Malmsteen Collection",84,"Compilation","Polydor Records",1991-00-00
351,"Fire & Ice",84,"Full-length","Elektra Records",1992-01-07
353,"The Seventh Sign",84,"Full-length","Pony Canyon Inc.",1994-05-09
355,"Power and Glory",84,"Single","Pony Canyon Inc.",1994-00-00
356,"I Can't Wait",84,"Single","Pony Canyon Inc.",1994-00-00
357,"Magnum Opus",84,"Full-length","Pony Canyon Inc.",1995-10-17
359,"Inspiration",84,"Compilation","Pony Canyon Inc.",1996-10-14
362,"Scenario IV: Dread Dreams",51,"Full-length","Cacophonous Records",1999-00-00
363,"The Light, the Dark and the Endless Knot",87,"Full-length","Blackend",2001-10-22
364,"Facing the Animal",84,"Full-length","Pony Canyon Inc.",1997-02-23
365,"Dawning of a New Age",87,"Demo","N/A",1996-00-00
366,"Once upon an Era",87,"Demo","N/A",1994-00-00
367,"Concerto Suite for Electric Guitar and Orchestra in E flat minor Opus1",84,"Full-length","Canyon Classics",1998-01-12
368,"Yngwie Malmsteen LIVE!!",84,"Live album","Pony Canyon Inc.",1998-10-26
369,"Suden uni",89,"Full-length","Plasmatica Records",2001-02-00
370,"Voimasta ja kunniasta",89,"Full-length","Spikefarm Records",2001-12-03
371,"Alchemy",84,"Full-length","Pony Canyon Inc.",1999-10-11
372,"Metsä",89,"Demo","Meat Hook Productions",1997-05-00
373,"Anthology: 1994-1999",84,"Compilation","Pony Canyon Inc.",2001-03-14
374,"Tämä ikuinen talvi",89,"Demo","Meat Hook Productions",1999-00-00
375,"Best of Yngwie Malmsteen: 1990-1999",84,"Compilation","Dream Catcher Records",2000-04-24
376,"Burzum",88,"Full-length","Deathlike Silence",1992-03-00
377,"Aske",88,"EP","Deathlike Silence",1993-03-10
378,"Det som engang var",88,"Full-length","Cymophane Records",1993-08-20
379,"Fear of the Dark",25,"Full-length","EMI Records",1992-05-12
380,"Hvis lyset tar oss",88,"Full-length","Misanthropy Records",1994-04-00
382,"Filosofem",88,"Full-length","Misanthropy Records",1996-01-01
383,"Dauði Baldrs",88,"Full-length","Misanthropy Records",1997-10-14
384,"Live at Donington",25,"Live album","EMI Records",1993-11-08
385,"Valhalla",90,"Full-length","N/A",1997-09-01
386,"The X Factor",25,"Full-length","EMI Records",1995-10-02
387,"Aion",90,"Full-length","WorldChaos Production",2002-02-05
388,"Focus",91,"Full-length","Roadrunner Records",1993-09-13
389,"Teargas",6,"EP","Peaceville Records",2001-02-20
390,"Tonight's Decision",6,"Full-length","Peaceville Records",1999-08-31
391,"Discouraged Ones",6,"Full-length","Avantgarde Music",1998-04-27
392,"Brave Murder Day",6,"Full-length","Avantgarde Music",1996-07-00
393,"Dance of December Souls",6,"Full-length","No Fashion Records",1993-12-14
394,"Best of the Beast",25,"Compilation","EMI Records",1996-09-23
395,"Virtual XI",25,"Full-length","EMI Records",1998-03-23
396,"Sombre Romantic",93,"Full-length","N/A",2001-02-12
397,"Of Darkness....",94,"Full-length","Deaf Records",1991-02-00
398,"Trance",93,"EP","N/A",1998-00-00
399,"Paroxysmal Holocaust",94,"Demo","N/A",1989-04-00
400,"Beyond the Darkest Veils of Inner Wickedness",94,"Demo","N/A",1989-11-00
401,"In Times Before the Light",5045,"Full-length","Mordgrimm",1997-00-00
402,"Time Shall Tell",94,"Demo","House of Kicks Records",1990-00-00
403,"Beyond Sanctorum",94,"Full-length","Active Records",1992-01-00
404,"Symphony Masses: Ho Drakon Ho Megas",94,"Full-length","Megarock",1993-04-00
405,"Nexus Polaris",5045,"Full-length","Nuclear Blast",1998-03-24
406,"The Beauty in Black",94,"Single","Nuclear Blast",1995-08-00
407,"Jaktens tid",95,"Full-length","Spikefarm Records",2001-09-18
408,"Lepaca Kliffoth",94,"Full-length","Megarock",1995-04-07
409,"Animatronic",92,"Full-length","Nuclear Blast",1999-11-16
410,"Siren of the Woods",94,"Single","Nuclear Blast",1996-00-00
411,"Hypocrisy",96,"Full-length","Nuclear Blast",1999-06-22
412,"Theli",94,"Full-length","Nuclear Blast",1996-08-09
413,"A'arab Zaraq - Lucid Dreaming",94,"Full-length","Nuclear Blast",1997-05-16
414,"Vovin",94,"Full-length","Nuclear Blast",1998-05-04
415,"Crowning of Atlantis",94,"Full-length","Nuclear Blast",1999-06-07
416,"Deggial",94,"Full-length","Nuclear Blast",2000-01-31
417,"Secret of the Runes",94,"Full-length","Nuclear Blast",2001-10-08
418,"Bells of Doom",94,"Compilation","N/A",2001-10-31
419,"Resurrection",98,"Full-length","Metal-Is Records",2000-08-28
420,"Astro",100,"Demo","N/A",1999-00-00
421,"Seraphyde",100,"Full-length","Avantgarde Music",2001-04-05
422,"Tristania",101,"Demo","N/A",1997-00-00
423,"Widow's Weeds",101,"Full-length","Napalm Records",1998-03-09
424,"Beyond the Veil",101,"Full-length","Napalm Records",1999-09-08
425,"World of Glass",101,"Full-length","Napalm Records",2001-09-25
426,"Angina",101,"Single","Napalm Records",1999-05-18
427,"Midwintertears / Angina",101,"Compilation","Napalm Records",2001-04-21
428,"Enthrone Darkness Triumphant",69,"Full-length","Nuclear Blast",1997-05-30
429,"Stormblåst",69,"Full-length","Cacophonous Records",1996-01-25
430,"Midnattens widunder",95,"Full-length","Spikefarm Records",1999-00-00
431,"Rocka Rolla",97,"Full-length","Gull",1974-09-06
432,"Sad Wings of Destiny",97,"Full-length","Gull",1976-03-23
433,"Sin After Sin",97,"Full-length","Columbia Records",1977-04-08
434,"Stained Class",97,"Full-length","Columbia Records",1978-02-10
435,"Killing Machine / Hell Bent for Leather",97,"Full-length","Columbia Records",1978-10-09
436,"Unleashed in the East",97,"Live album","Columbia Records",1979-09-17
437,"British Steel",97,"Full-length","Columbia Records",1980-04-23
438,"Point of Entry",97,"Full-length","Columbia Records",1981-02-17
439,"Screaming for Vengeance",97,"Full-length","Columbia Records",1982-07-14
440,"Defenders of the Faith",97,"Full-length","Columbia Records",1984-01-24
441,"Tomorrow's in Doubt",102,"Full-length","Maelstrom",2002-00-00
442,"The Fate of Angels",102,"Full-length","Nightfall Records",1999-03-00
443,"Turbo",97,"Full-length","CBS",1986-04-14
444,"Priest...Live!",97,"Live album","Columbia Records",1987-06-29
445,"Light of Day, Day of Darkness",103,"Full-length","Prophecy Productions",2001-01-08
446,"Mardraum: Beyond the Within",104,"Full-length","Osmose Productions",2000-10-03
447,"Blodhemn",104,"Full-length","Osmose Productions",1998-00-00
448,"Journey to the End of the Night",103,"Full-length","Prophecy Productions",2000-00-00
449,"Monumension",104,"Full-length","Osmose Productions",2001-11-27
